content,anger,fear,joy,sadness,surprise
Great.,0,0,1,0,0
"It's so nice to see you back, Mr. Bentley.",0,0,1,0,0
But with no money? Cool my ass.,1,0,0,0,0
Ming. As in to engrave on one's mind.,0,0,0,0,0
Someone's waking them up.,0,0,0,0,0
Thank you for meeting me.,0,0,1,0,0
"Debbie, um... that has you leaving at 9:30.",0,0,0,0,0
"What, now you're telling me how to feel?",0,0,0,0,1
Is gone.,0,0,0,1,0
"Yes, Zhu Tian went for a physical.",0,0,0,0,0
I could use some quotes on that mayor story.,0,0,0,0,0
Why are you in Hong Kong?,0,0,0,0,1
"That's not exactly agency policy, but it's admirable.",0,0,1,0,0
A lot of people have died already for the sake of this mission.,1,0,0,1,0
Is she all right?,0,0,0,0,1
Kiss me.,0,0,1,0,0
"Oh, I miss all the fun.",0,0,0,1,0
What's your name? I remember you.,0,0,1,0,0
We've got Matt Edwards on the ground.,0,0,0,0,1
Out of the way! Out of the way!,1,0,0,0,0
"I knew you had it handled,",0,0,0,0,0
"That makes Romero missing, not dead.",0,0,0,1,0
Get this. Harrison Wells is alive.,0,0,1,0,1
"I know you're busy, so I bought them for you.",0,0,1,0,0
"Yeah, and the Triad could already have it.",0,0,0,0,0
I enjoyed your show.,0,0,1,0,0
"Turn left at the next intersection, turn right at the next light... - and go straight. - Thanks. - Don't mention it. - Thanks.",0,0,0,0,0
"Causes rashes, blindness. - Is it permanent? - Sometimes.",0,1,0,0,0
"My ex sang ""Crushed by the One I Love.""",0,0,1,0,0
"If Dr. Rosso can help us in any way, then, yeah, I'm open to it, and you should be, too.",0,0,1,0,0
"You're not gonna be at my birthday party next year, are you?",0,0,0,1,0
"Dong, get your facts straight.",1,0,0,0,0
And it is going to get worse before it gets better.,0,1,0,1,0
House policy.,0,0,0,0,0
"I'm so sorry, Laurel...",0,0,0,1,0
Stay here. Fix that useless piece of junk.,0,0,0,0,0
"This is what China White wants, this is what I'm gonna give her.",0,0,0,0,0
"She's processing her grief, and if we have a new mission and the multiverse depends on it, Oliver, we have to get going right now.",0,0,0,0,0
By doing the right thing.,0,0,0,0,0
"Where's Rene, where's Dinah?",0,1,0,0,0
"You want to go to earth-37, earth-14?",0,0,0,0,1
The Highwaymen want justice!,1,0,0,0,0
I met him a few years ago through Cayden James.,0,0,0,0,0
That's why he can't die.,0,0,0,1,0
This is the pain beneath my anger.,0,0,0,1,0
Six men is an extraction unit.,0,0,0,0,0
They're gonna think I helped you.,0,0,0,1,0
Dark matter is a miraculous thing.,0,0,0,0,1
Tens of thousands.,0,0,0,0,0
"Yeah. I'm not that kid anymore, Con.",0,0,0,0,0
We are on edge.,0,0,0,1,0
"Yeah. Well, so did I, and as far as I know, Lyla did, too.",0,0,0,0,0
It happens. Layoffs after the new year.,0,0,0,1,0
"Dong, let's talk to the boss.",0,0,0,0,0
You don't believe me?,0,0,0,0,1
Romero's dark matter-infused cells are destroying his normal cells.,0,0,0,1,0
It's not that simple.,0,0,0,1,0
Hello?,0,0,0,0,0
Working with dark matter can be really dangerous.,0,1,0,0,0
All we can do is try and move forward.,0,0,1,0,0
"John, I didn't even want to get you involved in this.",1,0,0,0,0
Alright...don't cry.,0,0,0,1,0
They are no more.,0,1,0,0,0
Doc!,0,1,0,0,0
"Oh, my God.",0,0,0,0,1
Morris's wife had a baby. He's back in D. C.,0,0,1,0,0
"To prevent the crisis that's coming,",0,1,0,0,0
Good.,0,0,1,0,0
I've been a cop for over 1 0 years.,0,0,0,0,0
"Well, it helps to be married to Lyla Michaels, who is en route even as we speak.",0,0,1,0,0
"Allegra, it's not what you think, okay?",0,0,0,1,0
He said you're looking for an old friend.,0,0,0,0,0
Your wife is absolutely right.,0,0,0,0,1
"The number you have dialed has been disconnected. ""I'm like a pathetic joke"" ""holding onto thin air."" ""Perhaps I should have given up,"" ""given up meaningless courage."" ""I should not hope for anything."" ""I should not believe in miracles,"" ""but go on living without any expectations."" ""Nothing can be resolved."" ""Why talk about the future? "" ""I can't let go ""my love for you."""" """"The silent guitar"""" """"is answering me quietly."""" """"I talk to myself"""" """"when it's raining in my heart.""""""",0,0,0,1,0
"Now this machine is hooked up to A.R.G.U.S.' intranet,",0,0,0,0,0
Please trust me.,0,0,0,1,0
Congratulations.,0,0,1,0,0
Do I look pussy whipped to you?,0,0,0,0,1
Damn it! I'm going after the virus!,1,0,0,0,0
"Ah, it all worked out in the end.",0,0,1,0,0
"Thank you, sir.",0,0,1,0,0
"What, do you want me to hang myself?",1,0,0,0,0
He makes musical instruments. He's reticent.,0,0,0,0,0
You call this nice?,0,0,0,0,1
"Well, our situation just got a whole lot more complicated.",0,1,0,0,0
What did you say?,0,0,0,0,0
"So Frost has never had a birthday party, so I offered to throw her one.",0,0,1,0,0
Slow down. Why did you run? - I'm sorry. - Dong. - I'm sorry. - Dong.,0,0,0,1,0
Where did you see him?,0,0,0,0,1
The Alpha/Omega is a powerful weapon.,0,0,0,0,0
It is really snowing.,0,0,0,0,0
"No, you must tear it down.",1,0,0,0,0
"You know, we were happy, but I knew it wouldn't last, so I ended it.",0,0,1,0,0
It never occurred to you that they let you finish it?,0,0,0,0,1
You're going to be a father.,0,0,1,0,0
"Kwon's daughter is in danger, which means you might be, too.",0,1,0,0,0
"I can't give her a better life,",0,0,0,1,0
Thank you. - So happy. - Cheers.,0,0,1,0,0
You think women can only climb onto a bed?,0,0,0,0,1
It's clear.,0,0,0,0,0
Are you OK?,0,0,0,0,1
Is it safe?,0,0,0,0,0
My friends died trying to save yours and ended up with their heads on spikes.,1,0,0,0,0
I taught you how to fight.,0,0,0,0,0
Don't take that.,1,0,0,0,0
"I have to give them $5,000 a month, and I still have 9 more years to go. 9 years later,",0,0,0,1,0
Nothing that I can't handle myself.,0,0,1,0,0
I know what it's like to lose your mother.,0,0,0,1,0
But we aren't gonna get through it at all if we do not act as one.,1,1,0,0,0
You fail to see the bigger picture.,1,0,0,0,0
I don't know how to tell them.,0,0,0,1,0
You have to go?,0,0,0,0,1
"Well, I don't remember any details.",0,0,0,1,0
Are you ready to give them answers?,0,0,0,0,1
Alcohol is bad. I paid $27 for the cab.,0,0,0,0,0
It's coming December 10th... 2019. - Are you sure about this? - The jackass lied to you.,1,0,0,0,0
"Well, if this cosmic being wanted someone willing to watch the mass murder of innocent people, then...he picked the wrong hero.",0,1,0,1,0
You must remember it because of what happened after.,1,0,0,0,0
You think that our friendship is just nothing?,1,0,0,1,0
"Her friends, her family--Countless more like them will perish if we do not ensure that Oliver Queen is prepared for what is coming.",0,1,0,1,0
Go straight and make a turn.,0,0,0,0,0
What is it? You hurt yourself?,0,0,0,0,1
"Dong, you're too fussy. Just cut the spiel.",0,0,0,1,0
It's probably her. - Yes. - Maybe it was her?,0,0,0,0,1
Love your scarf.,0,0,1,0,0
"Which means, Oliver, that we have a ticking clock and absolutely no plan. - We have this. - You stole the virus?",0,0,0,0,1
I work hard because I can't do anything else.,0,0,0,1,0
What's taking so long? - It's done. - Great.,0,0,1,0,0
A coward.,1,0,0,0,0
Why did you come back?,0,0,0,0,1
I know that you're dealing with...,0,0,0,0,0
"Type the distress key, i'll put a bullet in your left knee.",1,0,0,0,0
Want some cabbage?,0,0,0,0,0
I consider context.,0,0,0,0,0
Does anybody else?,0,0,0,0,0
You take care of us three.,0,0,0,0,0
"Thanks, but I'm fine.",0,0,1,0,0
"I don't know where he is, Pete.",0,0,0,1,0
Marv when the pawn shop was robbed.,0,0,0,0,0
Zhencong will make her happy.,0,0,1,0,0
"So, what, everybody feels this crappy all the time?",0,0,0,0,1
I'm sorry.,0,0,0,1,0
"I want to come back and be a good cop,",0,0,1,0,0
Fang Zhendong. Where are you?,0,0,0,0,0
"Shouldn't blame yourself, man.",0,1,0,0,0
Come to lecture me some more?,1,0,0,0,0
"Yeah, it's okay.",0,0,1,0,0
Negan?,0,1,0,0,0
"He knows, where is Guiping?",0,0,0,0,0
"But tonight, I'll make an exception.",0,0,0,0,0
"I sent you to talk to him 24 hours ago, and now the person you made contact with is dead, Tara.",0,0,0,1,0
Nine months is a long time behind the curtain.,0,1,0,1,0
That doesn't mean it didn't hurt like hell every damn time. - What really happened? - What always happens.,0,0,0,0,1
Hand me the breach device.,0,0,0,0,0
It's all right.,0,0,1,0,0
"Tatsu, you almost died because of me.",0,1,0,1,0
Just a constant wave after wave.,0,0,0,0,0
You're new?,0,0,0,0,1
"Ralphy, I didn't mean to hurt you.",0,1,0,1,0
She's out all night looking for them.,1,1,0,0,0
You need to sleep.,1,0,0,0,0
I can fix tech. I can't bring back a whole ?friggin' universe!,1,0,0,1,0
This is a news story about a psycho who shot up a 7‐Eleven.,0,1,0,0,0
You're kidding me.,1,0,0,0,1
I had that.,0,0,0,0,0
Don't get emotional.,0,0,0,1,0
Look at all those holes on your vest.,0,0,0,0,0
He was doing what the agency wasn't willing to do-- trying to end Treadstone-- an unsanctioned black ops program run amok.,0,1,0,0,0
He's nervous.,0,0,0,1,0
Heads up.,0,1,0,0,0
"You look after your kid brother, but everyone in my family is selfish.",0,0,1,0,0
More or less.,0,0,0,0,0
"Even if I'll find out he has another woman,",0,0,0,0,0
How long till the next wave hits?,0,1,0,0,0
I'm all ears.,0,0,0,0,0
I'll transfer it to you tomorrow.,0,0,0,0,0
More than I ever imagined.,0,0,0,0,1
I'm just gonna call him right now.,0,0,0,0,0
I want to know if there's another woman.,0,0,0,0,0
"The carpenters arrive on the 2nd, electricians on the 5th, bricklayers from the 6th to the 1 0th.",0,0,0,0,0
"You're amazing, Fang Zhendong.",0,0,0,0,1
Said it sounded like a war zone.,0,1,0,1,0
I used to be a hairstylist.,0,0,1,0,0
Quiet. We made a mistake.,0,0,0,1,0
I am so sorry. My name is Barry Allen.,0,0,0,1,0
Great. I'll go mark my calendar.,0,0,1,0,0
What did you talk about?,1,0,0,0,0
"I want to order some deeper psych evaluations, keep you under observation for a while.",0,0,0,0,0
Forget the previous payments but I won't chip in anymore.,0,0,0,0,0
I hope you'll sleep well.,0,0,1,0,0
"Oh, God.",0,0,0,0,1
Where is it you get your strength?,0,0,0,0,1
I had too much to drink last night.,0,0,0,1,0
They're charged with dark matter.,0,0,0,0,0
Jang‐Mi?,0,0,0,0,0
My ex ran off with another man. I didn't care.,1,0,0,0,0
Just banged my head.,0,1,0,0,0
"No jitters, no adrenaline dump.",0,0,0,0,0
"Okay, you pull the shard, clamp open the wound, and I'll go in.",0,0,0,0,0
I see someone that's pretending.,0,0,1,0,0
What do you want?,0,1,0,0,0
You bit me.,1,0,0,0,0
"Um, somebody broke in while I was working late.",0,1,0,0,0
You could not believe that he left without even saying good-bye.,0,0,0,1,0
"I'm not a little lamb, Miss Li. when I call",1,0,0,0,0
He'll be increasingly dependent on others.,0,0,0,0,0
I used to be a journalist.,0,0,0,0,0
I wrote and handed in the reports at 17:00.,0,0,0,0,0
"William, do you copy?",0,0,0,0,0
"Nothing was stolen, but you'll never guess who the perp is.",0,0,0,0,1
"For women, this is more important than water.",0,0,0,0,0
You're alone?,0,0,0,0,1
"Thanks, Frank.",0,0,1,0,0
"I don't want to hear about the damn satellite anymore, Eugene!",1,0,0,0,0
I'm his friend.,0,0,0,0,0
Is there another solution?,0,0,0,1,0
You could've figured this out another way.,0,0,0,1,0
Because you're cold.,0,0,0,0,0
Why did you bring all these?,0,0,0,0,1
You're going to forget me anyway.,0,0,0,0,0
"Hey, come on, give him some space, Wilson.1",0,0,0,0,0
"If someone's bringing it back, we need to stop it.",0,1,0,0,0
He shipped it to this address.,0,0,0,0,0
Don't throw your life away because of it.,0,0,0,0,0
Yeah. I'm sure.,0,0,0,0,0
You don't have to work?,0,0,0,0,1
Forget how much I hurt you?,0,0,0,0,1
About what?,0,0,0,0,1
Read 'em and weep.,0,0,0,0,0
"He was a mess... ""He was""? ""Was""? What...",1,0,0,1,0
"I'm sorry, Jang‐Mi. You can't.He's been killed.",0,0,0,1,0
To get your hands on this priceless beauty?,0,0,0,0,1
"When you said you'd take care of Zhencong, did you see how happy she looked?",0,0,0,0,0
"Come to have a drink with me, little bro? - This is over, JJ. - I don't think so. - Put down your weapons. - You first.",0,0,0,0,0
"Let's get you home. Good to see you, Tony.",0,0,1,0,0
What the hell did the Deathstrokes want with this?,1,0,0,0,0
He was scared.,0,1,0,0,0
That doesn't make any sense.,0,0,0,1,0
"But I want that joy for you, Ralph.",0,0,1,0,0
"That goes for your land, your wallet, your home, your country... everything.",0,0,0,0,0
You're not a coward.,0,0,0,1,0
"If Marv is alive, what about your other boyfriends?",0,0,1,0,0
What's your name? I remember you.,0,0,0,0,0
"In order to get away, that bastard pushed a kid out on the street.",0,1,0,0,0
You can pay me back later.,0,0,0,0,0
"I don't know how they do things on your Earth, but this ain't Temple of Doom.""""",0,0,0,0,1
Why didn't you tell me you're not coming?,0,0,0,0,1
"Well, I'm surprised that you're not in an A.R.G.U.S. prison.",1,0,0,0,1
Batshit badger?,0,0,0,0,1
Her name was Petra.,0,0,0,0,0
Okay. And what did you see?,0,0,0,0,1
That's so romantic.,0,0,1,0,0
This is not Hong Kong. You must obey the law.,1,0,0,0,0
"You remember the fare, but what about me?",1,0,0,0,0
Yeah. How did you...,0,1,0,0,0
"What the fuck, John?",1,0,0,0,0
He needs the cash to do it.,0,0,0,0,0
Just leave us alone.,1,0,0,0,0
"Caitlin, I want to explain myself.",0,0,1,0,0
Are you scared to go?,0,0,0,0,1
"Auntie, let me help you.",0,0,1,0,0
Then you should eat more. - Definitely. - Zhu Tian.,0,0,1,0,0
I can't spend more than I should.,0,0,0,0,0
Come. No problem.,0,0,1,0,0
I'm going to Nanda Parbat.,0,0,0,0,0
"Or what, cowboy?",0,0,0,0,0
A man--something like a man has asked me to help him stop it. - You mean Mar Novu? - You've heard of him?,0,0,0,0,1
Should we save the mother or the baby?,0,0,0,1,0
Pink suits you.,0,0,0,0,0
We were able to confirm that this...,0,0,0,0,0
You sure they're open right now?,0,0,0,0,1
"Tear this down, my work station over he",0,0,0,1,0
The only timeline where you all survived was if I died.,0,0,0,1,0
Then I'll say it for you.,0,0,1,0,0
Let me repeat:,0,0,0,0,0
Where do we stand?,0,0,0,0,1
"So who were those men, Triad?",0,0,0,0,0
Yet you disobey.,1,0,0,0,0
"First it killed her, and now it's killing me.",1,1,0,1,0
"Found some peace, you know?",1,0,0,0,0
Enjoying the sun.,0,0,1,0,0
Don't mention it.,0,0,1,0,0
I must come back to work. I need to work.,0,1,0,0,0
Eternium?,0,0,0,0,1
I want to know what you're doing.,0,0,0,0,1
Let's go.,0,0,0,0,0
That's gonna make him stronger.,0,0,1,0,0
"Watch me, sweetie.",0,0,1,0,0
No problem. I'll buy.,0,0,1,0,0
Thanks for the party.,0,0,1,0,0
"So a couple years later when my boyfriend Doug and I broke up, and he left... there was no way I was gonna put you through that pain again.",0,0,0,1,0
It's not proof that someone's waking up assets.,0,0,0,1,0
"Last night? Yeah, Deb was here.",0,0,0,0,1
There's more coming in!,1,1,0,0,0
Yeah.,0,0,0,0,0
Come on. Come and get it.,0,0,1,0,0
I made sweet & sour spareribs... for the guests. - I brought them over. - That's enough.,0,0,0,0,0
"It's all you, man.",0,0,0,0,0
Why are you here?,0,0,0,0,1
"Those of you tuning in, are you aware of someone around... who gives you positive energy?",0,0,0,0,1
"A crisis is coming, John.",0,1,0,0,0
"I think you have great instincts, and I think you're gonna make a great reporter.",0,0,1,0,0
You're not responsible for her.,0,0,0,0,0
Don't think he texts.,0,0,0,0,0
So... That's awesome.,0,0,0,1,0
You smell good.,0,0,1,0,0
"Please, call me Ramsey.",1,0,0,0,0
It's my job to look after my kid brother.,0,0,0,0,0
"Look, you saved my ass in Krakow, but I'm not hurting any station personnel to help you get out of here.",1,0,0,0,0
"Clearly, he was right.",0,0,1,0,0
"Yeah, well, we thought so, too, but...",0,0,0,0,0
"All of the above. - Rosita, where's Coco? - Probably sleeping.",0,0,0,0,0
Want me to make you breakfast?,0,0,0,0,1
This is the pain beneath my anger.,0,0,0,1,0
What the hell did you just do?,1,0,0,0,0
Who died and made you boss?,0,0,0,0,0
What are you doing?,0,0,0,0,1
There's a better solution.,0,0,1,0,0
There's a man named Dr. Robert Wong.,0,0,0,0,0
I know what the Triad is after.,0,0,0,0,0
"Mom, give me a break.",0,0,0,0,0
"Besides, you know I don't have cameras in here, Deb. - Potted plant. - Ugly lamp on the bar.",0,0,0,1,0
I--I can't ask you to be involved.,0,1,0,0,0
"Sidearm, Frank.",0,0,0,0,0
Get a wife. She'll take care of you both.,0,0,1,0,0
"After what happened last time, you'd think the Chinese government would have learned its lesson.",0,0,0,0,0
Nobody would hire me for the last 6 months.,0,0,0,1,0
Knowing you has changed my life.,0,0,0,0,0
Alphabetical is great.,0,0,1,0,0
We'll leave first thing in the morning.,0,0,0,0,0
We're using this as bait to draw her out.,0,0,0,0,0
I'm sorry.,0,0,0,1,0
Bad dreams?,0,0,0,0,1
Why did you move back?,0,0,0,0,1
"Nine years ago, you failed to stop the virus, and my son died.",1,0,0,0,0
She ain't been the same since she got off that boat.,0,0,0,0,0
"Hey, Tommy, did I forget to tell you? - Happy birthday. - Thanks, Doc.",0,0,1,0,0
Why won't you help me?,0,0,0,0,1
He's more monster now than man.,0,0,0,0,1
That's just your assumption.,0,0,0,0,0
Deal's a deal.,0,0,1,0,0
"Auntie, you're such a good cook.",0,0,1,0,0
"I sang ""Happy Birthday"" to myself. ""Happy Birthday"" to myself...",0,0,0,0,0
You don't have to sell it.,0,0,0,1,0
I have to go.,0,0,0,0,0
"I have got the mother of all scoops, and thanks to your new intern, it's gonna be a CCC Media exclusive.",0,0,1,0,0
You were tough as a...,0,0,0,0,0
I still can't let you take those.,0,0,0,1,0
It's like I was becoming someone more...,0,0,0,0,0
"There's something I'm supposed to give to you, Jang‐Mi.",0,0,0,0,0
Are you saying that Eric's death was my fault?,1,0,0,0,1
Did you at least tell her Expo fired our asses?,1,0,0,0,0
You're so petty.,0,0,1,0,0
"I left my children,",0,0,0,1,0
Sometimes he'd stay up 24 hours just to make one of his runs.,0,0,0,0,0
"Thankfully, there are organizations on this earth far, far older than the Crescent Order.",0,0,1,0,0
What room are you in? I'll take you back.,0,0,0,0,0
"When the time is right, I will tell you everything.",0,0,0,0,0
You heard a rumor about The Monitor and a coming crisis?,0,0,0,0,0
Absolutely zero leakage.,0,0,0,0,1
Romero!,0,0,0,0,0
She doesn't believe me.,0,0,0,1,0
"And during the winter storm, you walked my land.",0,0,0,0,1
"Mother's love, brotherly love.",0,0,1,0,0
"Well, Ralphy, I really don't think anyone there is gonna help with my alibi.",0,0,0,1,0
"Ah, you wore that record out in Hanoi.",0,0,0,0,1
How's that possible?,0,0,0,0,1
"I don't know why you're so upset, sweetie.",0,0,0,1,1
I was never promoted. I didn't care either.,1,0,0,0,0
"Morning, boss.",0,0,1,0,0
"Yeah, come and get it. Come on.",0,0,1,0,0
"No, we're not. This--this isn't animal blood.",1,0,0,1,0
"Yeah? You were, uh...",0,0,0,0,0
"I do, but I got business to attend to.",0,0,0,1,0
"Carol! ""To this""... what? - To this bullshit. - That's it.",1,0,0,0,0
I am going to have to become...something else.,0,0,0,1,0
This isn't anger.,0,0,0,0,0
You just killed him!,1,0,0,1,1
"And screw you, too.",0,0,0,0,0
Fine.,0,0,1,0,0
I missed you all the time.,0,0,1,0,0
"Guys, Barry's right.",0,0,1,0,0
Trust me.,0,0,0,0,0
I'm just trying not to make the same mistake twice.,0,0,0,0,0
We got no choice. - We're good. - You're low on soldiers already.,0,0,0,1,0
HLH isn't just my mother's disease.,0,0,0,1,0
Where the hell are we?,1,0,0,0,0
I have nothing to lose.,0,0,0,1,0
"Hi, honey.",0,0,1,0,0
How does he know? You told him?,0,0,0,0,1
Who would kill for dark matter?,0,0,0,0,1
I don't know. It won't happen again.,0,0,0,1,0
He can't protect me.,0,0,0,1,0
"Oh, God.",1,0,0,0,1
Then I'll wait.,0,0,0,0,0
"When your father left, you came into my room every morning for a week with your hands on your hips, and you said, Where's Dad?""""",0,0,0,1,0
"No, but let's not forget that he did request her for a reason. - Do we know why? - Not yet.",0,0,0,1,0
I'm not a traitor.,1,0,0,1,0
"If you gave a shit, you'd leave.",1,0,0,0,0
Okay.,0,0,0,0,0
"Well, he's not the biggest fan of sharing information.",0,0,0,1,0
"I'm not a little lamb, Miss Li.",1,0,0,0,0
I know.,0,0,0,0,0
I'm fine.,0,0,1,0,0
I don't know what you mean.,0,0,0,0,1
Do you have any idea what you're about to walk into?,0,0,0,0,0
Tell me why the love of my life had to die.,1,0,0,1,0
Shift's up.,0,0,0,0,0
"I told you, I don't want any of those hateful vibes taken out on me.",1,1,0,0,0
"Chief, you haven't submitted your reports.",0,0,0,0,0
I'm hungry. Can you serve me lunch first?,0,0,0,0,0
Or get out of my lab.,1,0,0,0,0
You know why I got it.,0,0,0,0,0
"Allegra, look, I understand, okay?",1,0,0,0,0
How would I know there's a problem?,0,0,0,0,1
Come on. We're done. ,0,0,1,0,0
And I'm gonna spend them saving as many people as I can.,0,0,1,0,0
How do you explain that?,0,0,0,0,1
"If she sends that horde, that's it!",1,0,0,0,0
She's his past.,0,0,0,0,0
"No. I discovered what had transpired on Earth-2, that you intervened to save Laurel Lance.",0,0,0,0,0
"You don't know how much I missed you, John.",0,0,1,0,0
So much happiness in this world.,0,0,1,0,0
"It's all right. I'll go to Taiwan alone... to Shanghai, to Beijing,",0,0,0,1,0
You should fear me.,1,0,0,0,0
You're sure you saw three?,0,0,0,0,1
Good name. - Sounds good. - Not bad?,0,0,1,0,0
Someone just broke into Mercury Labs.,0,0,0,1,0
I don't want to die when I've just started living.,0,1,0,1,0
A man in his position in my country is always at risk.,0,1,0,1,0
Hello. - We're here to bum a meal. - You bought so much.,0,0,0,0,1
So... quaint.,0,0,1,0,0
What's happening?,0,1,0,0,0
I was at your office.,0,0,0,0,0
So happy.,0,0,1,0,0
"Ruby, have a drink with me.",0,0,1,0,0
"Why didn't you catch me, you stupid?",1,0,0,0,0
I'll get a loan from the bank.,0,0,0,0,0
What did you buy?,0,0,0,0,1
You should think it over.,0,0,0,0,0
Put them back. - No. - I can make you.,0,0,0,0,0
Prove it. Help me stop him.,0,0,0,0,0
You've been waiting for me?,0,0,0,0,1
Shut up.,1,0,0,0,0
And there you are.,0,0,0,0,0
So what do you want?,0,0,0,0,0
Can she hear me right now?,0,0,0,0,1
You worked with him for so long.,0,0,0,0,0
"Sometimes, the mission is not worth the cost.",0,0,0,0,0
I'd rather just stay here and pick tomatoes and bury corpses.,1,0,0,0,0
The stasis is pressing against your nerves and is affecting your memory.,0,1,0,0,0
Mitch Romero's still out there.,0,0,0,0,0
As far as the Cold War.,0,0,0,0,0
No...I don't know.,0,0,0,0,1
"So this is, what, like a black market?",0,0,0,0,1
"Long time no see. - Looking trim. - Thanks, Tony. - Deb. - Howdy, Tone-Loc.",0,0,1,0,0
What are you contributing?,0,0,0,0,1
"She ain't sleeping, either.",1,0,0,0,0
"I mean, look around... everybody's amped to 11, pissed at the skins, stirring shit up with each other.",0,1,0,0,0
OK. Looks like Dr. Wong might not be that easy to find.,0,0,0,1,0
"Well? ""Well"" What?",1,0,0,0,1
"But that is my home, and those people, those are real people who are counting on me--",0,0,0,1,0
Why should I?,0,0,0,0,1
"Listen, I'd risk my life when I work.",0,0,0,1,0
"Without you, I can't smile.",0,0,0,1,0
"If you had... told me about Andrew earlier,",0,0,0,0,0
Just like her Dad.,0,0,0,0,0
What did you say?,0,0,0,0,1
Debbie's hot tonight.,0,0,1,0,0
"Come on, man. Let's go.",0,0,1,0,0
She's taking a breather.,0,0,0,0,0
"Wipe it, slowly.",1,0,0,0,0
You know what? I can't die.,1,0,0,0,0
You'll have an amazing baby.,0,0,1,0,0
You're risking too much.,1,0,0,0,0
The baby's head didn't turn.,0,0,0,1,0
Keep an eye on that moron.,1,0,0,0,0
We don't have time to go all the way to S.T.A.R. Labs.,0,0,0,0,0
OK...Lion King needs to break for lunch.,0,0,0,0,0
"I don't know, they ditched me.",0,0,0,1,0
Why's she want to talk with us?,0,0,0,0,1
"Now is all we have, right?",0,0,0,0,1
